hale	 adj.  健壮的， 矍铄的
gainsay	 v.  否认
idolatrize	 v.  奉为偶像， 盲目崇拜
promenade	 v.  散步， 开车兜风 n. 散步，开车兜风
topple	 v.  倾覆， 推倒
institute	 v. 设立，创立；制定 n.  学院， 学会， 协会
endure	 v.  忍受， 忍耐
poster	 n.  海报， 招贴画
naysay	 v.  拒绝， 否认， 反对
convergent	 adj.  会聚的
swill	 v.  冲洗； 痛饮
pell-mell	 adv.  混乱地
begrudge	 v.  吝啬， 勉强给
dual	 adj.  双重的
omnipotent	 adj.  全能的， 万能的
treatise	 n.  论文
dexterous	 adj.  灵巧的， 熟练的
cupidity	 n.  贪婪
repetitious	 adj.  重复的
aspect	 n.  方面； 面貌， 外表
slimy	 adj.  黏滑的
mitigate	 v.  使缓和， 使减轻
self-assertion	 n.  自作主张
signify	 v.  表示； 有重要性
fanciful	 adj.  幻想的， 奇特的
slink	 v.  溜走，  潜逃
succinct	 adj.  简明的， 简洁的
reconciliation	 n.  和解； 调解
swine	 n.  猪
swing	 v. 摇摆；旋转 n.  秋千
pullet	 n.  小母鸡
dissect	 v.  解剖； 剖析
spin	 v. 旋转；纺纱 n.  旋转
collateral	 adj. 平行的；附属的；旁系的 n.  担保品
scour	 v.  冲刷； 擦掉； 四处搜索
fleet	 adj. 快速的 v.  消磨， 疾驰； 飞逝， 掠过
imposture	 n.  冒充
saddle	 n.  鞍， 马鞍
jerk	 v. 猛拉 n.  猛拉
guffaw	 v.  哄笑 n. 哄笑，粗声大笑
odium	 n.  憎恶， 反感
languor	 n.  无精打采， 衰弱无力
dubious	 adj.  可疑的； 有问题的， 靠不住的
ductile	 adj.  易延展的； 可塑的
swift	 adj.  迅速的； 敏捷的
liquidate	 v.  清算； 清偿
ratify	 v.  批准
unscrupulousness	 n.  狂妄， 不择手段
amend	 v.  改正， 修正； 改善
finite	 adj.  有限的
propitious	 adj.  吉利的， 顺利的； 有利的
consent	 v.  同意， 允许
benevolent	 adj.  善心的， 仁心的
curator	 n.  馆长
contiguous	 adj.  接壤的； 接近的
rifle	 v.  抢夺， 偷走 n. 步枪
riveting	 adj.  非常精彩的， 引人入胜的
comprehensively	 adv.  包括地； 全面地
incendiary	 adj.  放火的， 纵火的
slouch	 v.  没精打采地坐 n. 没精打采的样子
scamper	 v.  奔跑， 蹦蹦跳跳
foreclose	 v.  排除； 取消赎回权
svelte	 adj.  体态苗条的
irresponsible	 adj. 不对更高一级负责的；不承担责任的；无责任感的；无负责能力的 n.  不负责任的人， 无责任感的人
notate	 v.  以符号表示
enumerate	 v.  列举， 枚举
molecular	 adj.  分子的
morale	 n.  士气， 民心
expatriate	 v.  驱逐， 流放； 移居国外
periphery	 n.  次要部分； 外围， 周围； 外表面
estrange	 v.  使疏远
intersect	 v.  相交； 贯穿， 横穿
embrace	 v.  拥抱； 包含
judicious	 adj.  有判断力的； 审慎的
spoilsport	 n.  使人扫兴的人
misogyny	 n.  厌恶女人
irritation	 n.  愤怒， 恼怒
jest	 v.  说笑， 开玩笑 n. 笑话，俏皮话
modify	 v.  修改， 更改
mortify	 v.  使丢脸， 侮辱
villainous	 adj.  邪恶的， 恶毒的
exempt	 adj. 被免除的，被豁免的 v.  免除， 豁免
crab	 v.  抱怨， 发牢骚 n. 蟹，螃蟹
feminist	 n.  女权运动者
albeit	 conj.  虽然， 尽管
aesthetic	 adj.  美学的， 审美的
untouched	 adj.  未触动过的， 未改变的
caption	 n.  标题
yearn	 v.  盼望， 渴望
reincarnate	 v.  使转世
carbohydrate	 n.  碳水化合物
rig	 v.  操纵， 垄断
defect	 v.  变节， 脱党 n. 缺点，瑕疵
subsume	 v.  包含， 包括
decline	 v. 拒绝；变弱，变小 n.  消减
rip	 v.  撕， 撕裂
slobber	 v.  流口水； 情不自禁地说 n. 口水
impound	 v.  限制； 依法没收， 扣押
embroider	 v.  刺绣， 镶边； 装饰
whistle	 v.  吹口哨， 鸣笛 n. 口哨声；汽笛声
snappy	 adj.  生气勃勃的； 漂亮的， 时髦的
nonchalant	 adj.  冷淡的， 冷漠的
guise	 n.  外观， 装束； 伪装， 假装
trilogy	 n.  三部曲
sterile	 adj.  贫瘠且无植被的； 无细菌的
animated	 adj.  活生生的， 生动的
mighty	 adj.  强有力的， 强大的； 巨大的
reactionary	 adj.  极端保守的， 反动的
sophomoric	 adj.  一知半解的
repugnance	 n.  嫌恶， 反感
imprudent	 adj.  轻率的； 不理智的
ail	 v.  生病
portentous	 adj.  凶兆的
retain	 v.  保留， 保持； 留住， 止住
drastic	 adj.  猛烈的， 激烈的
venial	 adj.  轻微的， 可原谅的
spear	 v.  用矛刺 n. 矛；嫩枝
decorum	 n.  礼节， 礼貌
accommodate	 v.  与…一致； 提供住宿； 顺应， 使适应
tenacity	 n.  坚持， 固执
protagonist	 n.  倡导者， 拥护者
prevaricate	 v.  支吾其词， 搪塞
intermission	 n.  暂停， 间歇
sacred	 adj.  神圣的， 庄严的
braise	 v.  炖， 蒸
moat	 n.  壕沟； 护城河
circumspect	 adj.  慎重的
synopsis	 n.  摘要， 概要
tribulation	 n.  苦难， 忧患
prototype	 n.  原型； 典型
recollect	 v.  回忆； 想起
meditation	 n.  沉思， 冥想
banter	 n.  打趣， 玩笑
dehydrate	 v.  使脱水
dislocate	 v.  使脱臼； 把…弄乱
moan	 v.  呻吟； 抱怨 n. 呻吟；抱怨
movement	 n.  乐章
prosaic	 adj.  散文的； 单调的， 无趣的
lumen	 n.  流明
scissor	 n.  剪刀
unpremeditated	 adj.  无预谋的， 非故意的
impressed	 adj.  被打动的， 被感动的
municipality	 n.  自治市； 市政当局
mitigant	 adj. 缓和的，
spur	 v.  刺激， 激励； 用马刺刺马
mode	 n.  样式； 模式； 方式， 形式； 时尚， 风尚
idiomatic	 adj.  符合语言习惯的； 惯用的
symmetry	 n.  对称； 匀称
nemesis	 n.  报应
buffet	 v.  反复敲打； 连续打击
decimate	 v.  毁掉大部分； 大量杀死
retouch	 v.  修描； 润色
buffer	 v.  缓冲， 减轻
bode	 v.  预示
polymath	 n.  博学者
adhere	 v.  粘着， 坚持
tremulous	 adj.  颤动的； 胆怯的， 怯懦的
contemporary	 adj.  同时代的； 当代的； 现代的
sadden	 v.  使悲伤， 使难过
swipe	 v.  猛击 n. 猛击
scowl	 v.  生气地皱眉； 怒视 n. 怒容
mock	 v.  嘲笑； 模仿
territorial	 adj.  领土的； 地方的
lesion	 n.  损害， 损伤
leakage	 n.  渗漏， 漏出
verdant	 adj.  葱郁的， 翠绿的
roe	 n.  鱼卵
tacit	 adj.  心照不宣的
flabby	 adj.  不结实的， 松弛的； 意志薄弱的
ration	 v.  定量配给 n. 配给
flaccid	 adj.  松弛的； 软弱的
undermine	 v.  破坏， 削弱
guilt	 n.  罪行； 内疚
chauvinistic	 adj.  沙文主义的， 盲目爱国的
subjective	 adj.  主观的， 想象的
blossom	 v.  开花 n. 花
crib	 v.  抄袭， 剽窃
hoary	 adj.  灰白的； 古老的
doodle	 v.  涂鸦； 混时间
omelet	 n.  煎蛋卷
petitioner	 n.  请愿人
analogy	 n.  相似； 类比
filth	 n.  污物； 猥亵的东西
swirl	 v. 旋转 n.  旋涡
acerbity	 n.  涩， 酸， 刻薄
dull	 adj. 不鲜明的；迟钝的；乏味的 v.  变迟钝
collapse	 v.  坍塌， 塌陷； 虚脱， 晕倒
restiveness	 n.  倔强， 难以驾驭
syncretize	 v.  结合， 融和
desideratum	 n.  必需品
bricklayer	 n.  砖匠
blather	 v.  喋喋不休地胡说， 唠叨
accurate	 adj.  精确的， 准确的
concession	 n.  让步
dichotomy	 n.  两分法； 矛盾对立， 分歧； 具有两分特征的事物
synchronous	 adj.  同时发生的
paraphrase	 v.  释义， 解释， 改写 n. 释义，解释，改写
prosecution	 n.  起诉， 检举； 进行， 经营
construe	 v.  解释； 翻译
demur	 v.  表示异议， 反对
sequacious	 adj.  盲从的
repertoire	 n.  常备剧目
resort	 v. 求助，诉诸 n.  度假胜地
dwindle	 v.  变小， 减少
devotee	 n.  爱好者， 献身者
apt	 adj.  易于…的； 恰当的
shabby	 adj.  破旧的； 卑鄙的
sunlit	 adj.  阳光照射的
rumple	 v.  弄皱， 弄乱
pathetic	 adj.  引起怜悯的， 令人难过的
atomic	 adj.  原子的； 微小的
extirpation	 n.  消灭， 根除
quondam	 adj.  原来的， 以前的
tasty	 adj.  美味的； 有品位的
corruption	 n.  腐败， 堕落
cosmopolitanism	 n.  世界性， 世界主义
voluptuous	 adj.  撩人的； 沉溺酒色的
destructible	 adj.  可破坏的
interminable	 adj.  无止境的， 没完没了的
uncharted	 adj.  图上未标明的
misperceive	 v.  误解
diversity	 n.  多样， 千变万化
patience	 n.  耐性
retard	 v.  妨碍； 使减速
stitch	 v.  缝合 n. 一针
coarsen	 v.  变粗糙
enviable	 adj.  令人羡慕的
thoughtful	 adj.  深思的
dupe	 n.  易上当者
miserly	 adj.  吝啬的
empower	 v.  授权， 准许
crater	 n.  火山口； 弹坑
suppress	 v.  镇压； 抑制
gravitational	 adj.  万有引力的， 重力的
archaeological	 adj.  考古学的
speculative	 adj.  推理的， 思索的； 投机的
scrawl	 v.  潦草地写， 乱涂
ravening	 adj.  狼吞虎咽的； 贪婪的
modish	 adj.  时髦的
astray	 adj.  迷路的， 误入歧途的
serene	 adj.  平静的， 安详的； 清澈的； 晴朗的
misalliance	 n.  不适当的结合
rue	 n.  后悔， 懊悔
strength	 n.  体力； 强度； 力量
hieroglyph	 n.  象形文字， 神秘符号
towering	 adj.  高耸的； 杰出的
deviant	 adj.  越出常规的
interlace	 v.  编织； 交错
scrutinize	 v.  详细检查； 细读
extinguish	 v.  使…熄灭； 使…不复存在
affiliation	 n.  联系， 联合
self-analysis	 n.  自我分析
donate	 v.  捐赠， 赠送
bonanza	 n.  富矿脉， 贵金属矿
defiance	 n.  挑战； 违抗， 反抗
infelicitous	 adj.  不幸的； 不妥当的
taboo	 adj. 忌讳的 n.  禁忌
intertwine	 v.  纠缠， 缠绕
consecrate	 v.  奉献， 使神圣
agitation	 n.  焦虑， 不安； 公开辩论， 鼓动宣传
overlap	 v.  部分重叠
lopsided	 adj.  倾向一方的， 不平衡的
buxom	 adj.  体态丰满的
mourn	 v.  悲痛， 哀伤； 哀悼
abatement	 n.  减少， 减轻
thematic	 adj.  主题的
tumid	 adj.  肿起的， 肿胀的
truce	 n.  停战， 休战
complaisance	 n.  彬彬有礼； 殷勤； 柔顺
boon	 n.  恩惠， 天赐福利
pirouette	 n.  脚尖着地的旋转
novelty	 n.  新奇； 新奇的事物
boom	 v.  发出隆隆声 n. 繁荣
abolish	 v.  废止， 废除
approaching	 adj.  接近的， 逼近的
affective	 adj.  感情的， 表达感情的
jockey	 n. 赛马骑师 v. 〔为获得最佳位置、最有利形势或最大权力而〕激烈竞争
ally	 v.  结盟， 联合 n.  同盟者， 伙伴
solicitous	 adj.  热切的； 挂念的
boor	 n.  粗野的人； 农民
analogous	 adj.  相似的， 可比拟的
simper	 v.  假笑， 傻笑
abbreviate	 v.  缩短； 缩写
adherent	 n.  拥护者， 信徒
equivocate	 v.  模棱两可地说， 支吾其词， 推诿
bracelet	 n.  手镯， 臂镯
saturated	 adj.  渗透的； 饱和的； 深颜色的
convoke	 v.  召集； 召开
awe	 n&v.  敬畏
radically	 adv.  根本上； 以激进方式
discourse	 n.  演讲， 论述
momentum	 n.  推进力， 势头
obstruct	 v.  阻塞； 妨碍， 阻挠
oust	 v.  驱逐， 把…赶走
assuming	 adj.  傲慢的， 自负的
spendthrift	 adj&n.  挥金如土的
commonsense	 adj.  有常识的
aquatic	 adj.  水生的， 水中的
yank	 v.  猛拉， 拽
blazing	 adj.  炽烧的， 闪耀的
symbolize	 v.  象征
archetypally	 adv.  典型地
unremitting	 adj.  不间断的， 持续的
loosen	 v.  变松， 松开
negotiable	 adj.  可协商的； 可通行的
amnesty	 n.  大赦， 特赦
cast	 v.  扔； 铸造 by pouring in liquid into a mold) n. 演员阵容；剧团
slice	 v.  切成片 n. 薄片
ravishing	 adj.  令人陶醉的
serendipity	 n.  意外发现新奇事物的才能或现象
morsel	 n.  一小口， 一小块； 小量， 一点
elevate	 v.  举起； 提升
slick	 adj.  熟练的； 圆滑的； 光滑的
protean	 adj.  变化多端的， 多变的
oppressive	 adj.  高压的， 压制性的； 压抑的
clinch	 v.  钉牢； 彻底解决
generation	 n.  一代人； 代； 产生， 发生
humiliate	 v.  羞辱， 使丢脸
mope	 v. 抑郁，闷闷不乐 n.  情绪低落
cleave	 v.  劈开； 分裂
carp	 v.  吹毛求疵 n. 鲤鱼
feral	 adj.  凶猛的， 野性的
desiccate	 v.  完全干涸， 脱水
sticky	 adj.  湿热的； 闷热的
excessive	 adj.  过度的， 过分的
enthral	 v.  迷惑
participation	 n.  参加， 参与
assault	 n.  突袭； 猛袭
interjection	 n.  插入语； 感叹词
increment	 n.  增加
uninitiated	 adj.  外行的， 缺乏经验的
ingenuous	 adj.  纯真的， 纯朴的； 坦率的
scrape	 v.  刮， 擦； 擦掉
reclusive	 adj.  隐遁的， 隐居的
aptitude	 n.  适宜； 才能， 资质
vile	 adj.  恶劣的， 卑鄙的， 道德败坏的
insubordinate	 adj.  不服从的， 违抗的
reliance	 n.  信赖， 信任
gnaw	 v.  啃， 咬； 腐蚀， 侵蚀
reprieve	 v. 缓期执行；暂时解救 n.  缓刑， 暂缓
aggravate	 v.  加重， 恶化； 激怒， 使恼火
spurt	 n.  喷出， 迸发
namby-pamby	 adj. 乏味的；懦弱的 n.  懦弱的人
momentarily	 adv.  暂时地； 片刻， 立刻
spurn	 n.  拒绝， 摈弃
colossal	 adj.  巨大的， 庞大的
bowdlerize	 v.  删除， 删改
tyranny	 n.  暴政， 专制统治； 暴行
voluminous	 adj.  长篇的； 大量的
autograph	 v. 在…上亲笔签名 adj.  亲笔的 n. 亲笔稿，手迹
philanthropic	 adj.  慈善的， 博爱的
alleviate	 v.  减轻， 缓和
finagle	 v.  骗取， 骗得
condescending	 adj.  谦逊的， 故意屈尊的
talent	 n.  天赋； 天才
scoff	 v. 嘲笑；狼吞虎咽 n.  嘲笑； 笑柄
factual	 adj.  事实的， 实际的
negotiate	 v.  协商， 商定， 议定
mote	 n.  尘埃， 微尘
assoil	 v.  赦免， 释放， 补偿
astigmatic	 adj.  散光的， 乱视的
tumult	 n.  喧哗， 吵闹； 骚动， 骚乱
animus	 n.  敌意， 憎恨
shatter	 v.  使落下， 使散开； 砸碎， 粉碎； 破坏， 毁坏
delimit	 v.  定界， 划界
epithet	 n.  短语或形容词； 绰号， 称号
transfer	 v.  转移， 传递； 转让； 调任， 调动
contumely	 n.  无礼， 傲慢 '
affection	 n.  喜爱
nerve	 v.  给予力量 n. 勇气
unscrupulous	 adj.  肆无忌惮的
morbid	 adj.  病态的， 不健康的
jesting	 adj.  滑稽的； 爱开玩笑的
courteous	 adj.  有礼貌的
uncontroversial	 adj.  未引起争论的
prance	 v.  昂首阔步
denigrate	 v.  污蔑， 诽谤
polemic	 n.  争论， 论战
inspiration	 n.  启示， 灵感
stuffy	 adj.  通风不好的， 闷热的
encomiast	 n.  赞美者
sag	 v.  松弛， 下垂
phony	 adj.  假的， 欺骗的
poohed	 adj.  疲倦的
sequester	 v.  隐退； 使隔离
double-cross	 v.  欺骗， 出卖
noose	 n.  绳圈， 套索
procrustean	 adj.  强求一致的
sap	 v.  削弱， 耗尽 n. 树液；活力
earthshaking	 adj.  极其重大或重要的
deviate	 v.  越轨， 偏离
fragmentary	 adj.  碎片的， 片段的
arrant	 adj.  完全的， 彻底的； 极坏的， 臭名昭著的
convertible	 adj. 可转换的 n.  敞篷车
wizened	 adj.  干枯的， 干瘪的， 干皱的
facetious	 adj.  滑稽的， 好开玩笑的
depression	 n.  抑郁， 消沉
ill-paying	 adj.  工资低廉的
mentor	 n.  导师
gloat	 v.  幸灾乐祸地看， 心满意足地看
alienate	 v.  使疏远， 离间
depraved	 adj.  堕落的， 腐化的
facile	 adj.  易做到的； 肤浅的
perfidious	 adj.  不忠的， 背信弃义的
ban	 v.  禁止， 取缔 n. 禁令
retrospect	 v.  回顾； 回想 n. 回顾
ill-will	 n.  敌意， 仇视， 恶感
hubris	 n.  傲慢， 目中无人
bar	 v. 禁止，阻挡 n.  条， 棒
imputation	 n.  归咎， 归罪
squint	 v.  斜视
projector	 n.  电影放映机， 幻灯机
draft	 n.  草稿， 草案； 汇票
portend	 v.  预兆， 预示
fluid	 adj.  流体的， 流动的； 易变的， 不固定的
shortrange	 adj.  近程的
mollycoddle	 v. 过分爱惜，娇惯 n.  娇生惯养的人
harrowing	 adj.  悲痛的， 难受的
posit	 v.  断定， 认定
adjourn	 v.  延期， 推迟； 休会
nonchalantly	 adv.  冷淡地， 冷漠地
proliferate	 v.  激增； 繁殖， 增生
hazardous	 adj.  危险的， 冒险的
haggle	 v.  讨价还价
underestimate	 v.  低估； 看轻
onslaught	 n.  猛攻， 猛袭
interdependent	 adj.  相互依赖的， 互助的
sonorous	 adj.  洪亮的
unrepentant	 adj.  顽固不化的， 不后悔的
neophyte	 n.  初学者， 新手
abuse	 v.  辱骂； 滥用 n.  辱骂； 滥用
scheme	 n.  阴谋； 体系， 结构
vantage	 n.  优势， 有利地位
scarcity	 n.  不足， 缺乏
icon	 n.  圣像； 偶像
onerous	 adj.  繁重的， 费力的
drain	 v.  排水； 喝光
amuse	 v.  使愉快， 逗某人笑
containment	 n.  阻止， 遏制
tremor	 n.  颤动； 颤抖， 战栗
pharisaic	 adj.  伪善的， 伪装虔诚的
oval	 adj.  卵形的， 椭圆形的
indigent	 adj.  贫穷的， 贫困的
procedure	 n.  程序， 手续
integrate	 v.  使成整体， 使一体化
pique	 v.  激怒 n. 不悦，愤怒
ineligible	 adj.  不合格的
spongy	 adj.  像海绵的； 不坚实的
disproof	 n.  反证， 反驳
diagnose	 v.  判断， 诊断
rivet	 v.  吸引 n. 铆钉
auspices	 n.  支持， 赞助
vicinity	 n.  附近， 邻近
earnest	 adj.  诚挚的， 认真的
riven	 adj.  撕开的， 分裂的
stroll	 v.  漫步， 闲逛
welsh	 v.  欠债不还； 失信
deride	 v.  嘲笑， 愚弄
insolvency	 n.  无力偿还； 破产
chipmunk	 n.  花栗鼠
advocacy	 n.  拥护， 支持
discharge	 v.  排出， 流出； 释放； 解雇； 履行义务； 放电
resonant	 adj.  洪亮的； 回响的， 共鸣的
instructive	 adj.  传授知识的， 教育的； 有益的
suspicious	 adj.  怀疑的
shipshape	 adj.  整洁干净的； 井然有序的
unstable	 adj.  不稳定的
crepuscular	 adj.  朦胧的， 微明的
hieroglyphic	 n.  象形文字
perpendicular	 adj.  垂直的， 竖直的
humane	 adj.  人道的， 慈悲的； 人文主义的
overblown	 adj.  盛期已过的， 残败的； 夸张的
regulatory	 adj.  按规矩来的， 依照规章的； 调整的
